round,acc,loss,up_bytes,down_bytes
1,95.07,0.1200,8356291,0
2,97.39,0.0600,8357461,0
3,97.88,0.0400,8357998,0
4,97.93,0.0400,8356476,0
5,97.95,0.0400,8356544,0
6,98.11,0.0300,8356216,0
7,98.16,0.0300,8357699,0
8,98.11,0.0300,8357596,0
9,98.10,0.0300,8356657,0
10,98.09,0.0400,8358905,0
11,98.11,0.0400,8354508,0
12,98.00,0.0400,8358472,0
13,98.23,0.0300,8358135,0
14,98.13,0.0400,8357324,0
15,97.99,0.0400,8358364,0
16,98.07,0.0400,8357203,0
17,98.18,0.0400,8358209,0
18,98.23,0.0400,8356770,0
19,98.10,0.0400,8356870,0
20,98.06,0.0400,8356646,0
21,98.20,0.0400,8356733,0
22,98.32,0.0400,8355959,0
23,98.17,0.0500,8357375,0
